"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HERC5",3599.08649745579,1.24656706733204,0.12611190960777,9.88461019430349,4.85467483535515e-23,5.55154134126658e-20
"HERC3",317.630806830519,-0.869687717157404,0.161567243128641,-5.38282203939663,7.33270259377269e-08,5.69370777327572e-06
"FAM13A-AS1",34.276213731302,-0.0353748468514958,0.350026663812367,-0.101063291768134,0.919500217730293,0.975326185920344
"FAM13A",562.79835866475,0.310668595722743,0.17874797895282,1.73802578100613,0.0822062711630098,0.323653422522535
"TIGD2",278.901654569295,-0.0218151327710361,0.180348513265484,-0.120960979250896,0.903721942236565,0.969305056514321
"LOC124900602",14.9120787572502,-0.300266408278574,0.531697766633525,-0.564731370191243,0.572256493563586,0.825695621993158
"SNCA",141.27182841973,-0.16106757062594,0.193541093379725,-0.832213809549619,0.405288270427125,0.722221496972351
"LOC124900856",2.3095815342846,0.748340576782339,1.24982825278051,0.598754728993758,0.549336455274674,NA
"SMARCAD1",566.473894839626,0.126399831921196,0.168851544136512,0.748585584855565,0.454107023153409,0.756815292600706
"PDLIM5",1341.92933997872,-0.0966749108550224,0.128823370450862,-0.750445439493431,0.452986472560092,0.756722023683055
"BMPR1B",45.3188376030761,0.395428014107901,0.307453799741849,1.28613799679795,0.198394905358666,0.517770899245814
"RAP1GDS1",582.690150977335,0.016747570058838,0.140177049518183,0.119474408374286,0.904899513954693,0.969990721857127
"EIF4E",701.343519677235,0.0920609244703933,0.150134976390573,0.613187724031067,0.539752220872243,0.808760355729832
"METAP1",880.068176516226,-0.406663304158381,0.143458695609137,-2.83470655042315,0.00458677964239736,0.0489788634309987
"ADH5",2221.79308050769,0.114540785107921,0.120918567660361,0.94725555656304,0.343508571751023,0.672657585026068
"TRMT10A",74.1432326501074,0.283486454334589,0.242080516883453,1.17104200694958,0.241581892608049,0.571966615305223
"MTTP",3.58667588397568,0.222340498873608,0.958056670218185,0.232074475117398,0.816480169608132,NA
"DAPP1",1.82312931380642,0.772336727781056,1.47554157199266,0.523425935562118,0.600677879650717,NA
"LAMTOR3",311.668459528358,0.0982644244182212,0.17792846400282,0.552269278380686,0.580763875672988,0.830540778468382
"DNAJB14",340.494023919595,-0.0117110908411527,0.205665922775474,-0.0569423008105124,0.95459115778392,0.987646173199863
"H2AZ1",4446.99531123759,-0.134841666469841,0.108693712350554,-1.24056547111902,0.214766314088271,0.538003424226285
"PPP3CA",827.434114780226,-0.169945589218229,0.123820743177755,-1.37251307702343,0.169903770775779,0.480490002830153
"PPP3CA-DT",56.8317222385094,0.144603818199433,0.266118458241617,0.543381391711443,0.586867235104924,0.834280950557065
"SLC39A8",2056.64007080325,0.303750065465682,0.120626149852574,2.51811125396041,0.0117986046650662,0.0964984707944528
"NFKB1-AS1",11.4569336332452,0.278748611476861,0.559929426103279,0.497828116333799,0.618605196774544,NA
"NFKB1",499.491702031624,0.115259695502239,0.141481921318177,0.814660236646295,0.41526682015397,0.730536380742361
"LOC105377347",5.41355121877104,0.769718244705621,0.84227107193631,0.913860478356574,0.360790162820688,NA
"MANBA",723.53761862882,0.112927456635097,0.139765192237985,0.80797983265254,0.419102191942838,0.73255397289008
"UBE2D3",2270.78660581488,0.0469891512160406,0.110199076938841,0.426402403008504,0.669814650690482,0.871583582397391
"UBE2D3-AS1",3.67919658443827,-0.562871924322809,1.06271663266704,-0.529653820238234,0.596351971503421,NA
"CISD2",265.728595392501,-0.0515995661249176,0.158190464887145,-0.326186323314299,0.744283388429871,0.902307319107493
"SLC9B2",197.653168924186,-0.064795482554124,0.179842183309138,-0.360290791414295,0.718629684961562,0.891624296683761
"BDH2",397.264198324708,0.247518784577399,0.166012050523006,1.4909687808663,0.135969691534035,0.429307919128169
"CENPE",468.274122245208,0.212770692738578,0.589108817614744,0.361173838137529,0.717969498157765,0.891624296683761
"TACR3-AS1",14.2008949279807,-0.0686903239644636,0.500805446214837,-0.137159698409103,0.890904565785895,NA
"LOC124900868",8.43385879420267,0.405530689305151,0.666170298463082,0.608749279637277,0.542690637373122,NA
"TET2",293.970238775108,0.351417747298177,0.226090580616033,1.55432281318693,0.1201074344768,0.402566325148858
"PPA2",1021.25350998094,-0.144114311502299,0.125836908446628,-1.14524675853288,0.252106953956889,0.583917027034378
"ARHGEF38",2.66144982479655,0.68138699464552,1.13126332016132,0.602323952789661,0.546958519699125,NA
"INTS12",244.982721594876,0.265059741029644,0.169921833201093,1.55989219299417,0.118785359700345,0.400160964025344
"GSTCD",241.419206635551,-0.147627953413138,0.156981676226778,-0.940415193425965,0.347004631846408,0.674940547848283
"LOC124900749",6.62935401779359,0.0288238736614165,0.742093616907777,0.038841290377247,0.969016924696741,NA
"TBCK",151.455501905053,0.114343423802853,0.233459564934632,0.489778278456352,0.624290803006552,0.851730369958722
"AIMP1",859.661072034608,0.318562794277349,0.183097134193633,1.73985680158411,0.0818841656068252,0.322587196732933
"PAPSS1",418.557715479831,-0.208440969717512,0.146475311366303,-1.42304507000669,0.154723090351869,0.457604947342536
"SGMS2",332.033605021342,-0.0737284511411361,0.164202971717245,-0.44900801958746,0.653425871497577,0.864385743776214
"LOC107986298",5.87062066359497,-0.584787502023867,0.778898987778107,-0.750787343673454,0.452780647479651,NA
"HADH",1251.05784873218,-0.191016039183954,0.12699343395611,-1.50414106645837,0.132545048294955,0.423579754918523
"RPL34",2750.4579805027,-0.0752329196603699,0.11557378658146,-0.650951412821831,0.515077851604679,0.795922536677962
"OSTC",1075.69243898575,0.0759783929842633,0.126767811703719,0.599350828598662,0.548938959502739,0.813130378189467
"ETNPPL",86.0975741411973,0.190959709248538,0.232260593410118,0.822178684919432,0.410975208098858,0.726896880238269
"COL25A1",15.252971929178,0.484821995349561,0.494177707970394,0.981068120900765,0.326559149857495,0.658185037295237
"SEC24B-AS1",7.60863785641132,0.525484931085364,0.699373187903864,0.75136556587239,0.452432680028979,NA
"SEC24B",657.066611542886,0.1835222584769,0.146125318884001,1.2559237500969,0.209143616738369,0.531875601327756
"MCUB",189.772753729002,-0.105905950387914,0.196503639025621,-0.538951598622077,0.589920252335975,0.83531675276701
"CASP6",199.83037146417,0.436869627404096,0.177660553795525,2.45901309024908,0.0139319537830643,0.107269736276594
"PLA2G12A",432.805268479294,0.679589223005405,0.156110851612749,4.35324781067243,1.34135379738561e-05,0.000508219560762458
"CFI",875.873371980095,0.443361375867122,0.208457958971423,2.12686230861495,0.033431525360659,0.189932136933236
"GAR1",303.129489626422,0.123806805307232,0.176117828727488,0.702977127311747,0.48207000373418,0.777509369571567
"RRH",3.20726172690771,0.234954696008184,1.01535351545217,0.231401863914906,0.817002617261868,NA
"LRIT3",3.63404752427918,1.04303219043622,1.09882479624802,0.949225203142211,0.342506085818922,NA
"EGF",19.6027301024477,-0.411090679175668,0.428778221434146,-0.958748972372435,0.337685221054164,0.667986628368711
"ELOVL6",547.657312524901,-0.395134542886398,0.171199579431932,-2.30803454189268,0.0209972153679489,0.139600408093779
"ENPEP",6.19925143318622,0.344759281775384,0.82057246178244,0.420144835261107,0.674379651085807,NA
"LINC02945",27.7360894964598,1.30868339887438,0.398948963932238,3.28032785440863,0.00103686519014313,0.0164680899328415
"FAM241A",388.082096000408,0.279630141849337,0.161884725851527,1.72734110879491,0.0841064203868025,0.328333867964377
"AP1AR-DT",9.28032328921302,0.186017698812409,0.628064310137934,0.296176196943202,0.76709552587242,NA
"AP1AR",337.727302470388,0.318050900711311,0.163887017969694,1.94067171794,0.0522981089457552,0.246624506462886
"TIFA",331.299886503898,0.0926226214453767,0.158670849485434,0.583740628765457,0.559394828094364,0.819503582257522
"ALPK1",262.807175452646,0.51686391676036,0.173536938216112,2.97840864356319,0.00289749391984261,0.0357011840579727
"ZGRF1",180.570293527633,-0.200781342373569,0.551535667515027,-0.364040540257713,0.715827736606651,0.891062522219981
"LARP7",324.770390980607,0.383347969551631,0.241955869100977,1.58437144333807,0.113109216456674,0.388107155976133
"CAMK2D",150.535028391701,0.00122290350841639,0.200276473189748,0.00610607670955823,0.995128085940599,0.998237049639637
"ARSJ",124.3702325322,0.164562108732047,0.199389764154609,0.825328769657623,0.40918496258982,0.725259396274913
"LOC107986305",3.87053426249758,2.27302591047839,1.07952776472901,2.10557429344949,0.0352413475861576,NA
"UGT8",208.768744590085,-0.0469948681561437,0.189761890430107,-0.247651770593279,0.804403850993376,0.927460682094012
"LOC105377382",2.64210306736084,1.21519635438409,1.22059780245575,0.99557475192829,0.319456807280876,NA
"SNHG8",248.146807109075,0.39373924436994,0.169721226814521,2.31991750095135,0.0203453406495158,0.136931000551236
"SNORA24",2.69835994099811,0.653756683965079,1.14029286913876,0.573323487025616,0.566425685496252,NA
